date,close
2020-12-22,15102
2020-12-23,15191.5
2020-12-24,15195
2020-12-25,15183
2020-12-28,15175
2020-12-29,15229
2020-12-30,15245
2021-01-04,15948
2021-01-05,15987.5
2021-01-06,15792.5
2021-01-08,15396
2021-01-11,15489
2021-01-12,15419.5
2021-01-13,15426
2021-01-14,15080
2021-01-15,14840
2021-01-18,14840.5
2021-01-19,14690.5
2021-01-20,15055
2021-01-21,15059.5
2021-01-22,14835
2021-01-25,15048
2021-01-26,15119
2021-01-27,14860
2021-01-28,14669.5
2021-01-29,14305.5
2021-02-01,14793
2021-02-02,14893
2021-02-03,14599.5
2021-02-04,14454
2021-02-05,14600
2021-02-08,14550.5
2021-02-09,14530.5
2021-02-10,14404.5
2021-02-11,14394
2021-02-12,14390
2021-02-15,14470.5
2021-02-16,14400
2021-02-17,14099
2021-02-18,13772.5
2021-02-19,13948
2021-02-20,13988
2021-02-22,13929
2021-02-24,14091
2021-02-25,14120
2021-02-26,14027
2021-03-01,14260
2021-03-02,14505
2021-03-03,14401.5
2021-03-04,14064
2021-03-05,14500
2021-03-09,14513
2021-03-10,14107.5
2021-03-11,14231
2021-03-12,14110.5
2021-03-15,14089.5
2021-03-16,14175.5
2021-03-17,14264
2021-03-18,14299.5
2021-03-19,14301.5
2021-03-22,14120
2021-03-23,14147
2021-03-24,13992.5
2021-03-25,13917
2021-03-26,13930.5
2021-03-29,13838.5
2021-03-30,13505
2021-03-31,13926
2021-04-01,13928.5
2021-04-02,13944
2021-04-05,13871
2021-04-06,14361.5
2021-04-07,14269
2021-04-08,14267
2021-04-09,14313
2021-04-12,14488
2021-04-13,14618
2021-04-14,14610
2021-04-15,14879.5
2021-04-16,15004
2021-04-19,15232.5
2021-04-20,15349
2021-04-21,15642.5
2021-04-22,15671.5
2021-04-23,15244
2021-04-26,14989
2021-04-27,14666
2021-04-28,14572
2021-04-29,14123
2021-04-30,13959.5
2021-05-04,14080
2021-05-05,14280
2021-05-06,14812
2021-05-07,15070.5
2021-05-10,15188
2021-05-11,15220.5
2021-05-12,14924
2021-05-13,14888.5
2021-05-14,14970
2021-05-17,15339
2021-05-18,15774.5
2021-05-19,15700
2021-05-20,15732
2021-05-21,15698.5
2021-05-24,15758
2021-05-25,15849.5
2021-05-26,16012
2021-05-27,15997
2021-05-28,15941
2021-05-31,15850.5
2021-06-01,16099
2021-06-02,16103.5
2021-06-03,16000
2021-06-04,15583
2021-06-07,15200
2021-06-08,15197
2021-06-09,15099
2021-06-10,15025
2021-06-11,14940
2021-06-14,14786
2021-06-15,14825
2021-06-16,14650.5
2021-06-17,14450
2021-06-18,14514.5
2021-06-21,14703.5
2021-06-22,14752.5
2021-06-23,14730
2021-06-24,14401
2021-06-25,14330
2021-06-28,14355
2021-06-29,13966
2021-06-30,14241
2021-07-01,14128
2021-07-02,14277.5
2021-07-05,14195
2021-07-06,14205.5
2021-07-07,14525.5
2021-07-08,14549
2021-07-09,14190
2021-07-12,14182.5
2021-07-13,14319
2021-07-14,14275
2021-07-15,14400
2021-07-16,14056
2021-07-19,14001
2021-07-20,13845.5
2021-07-21,13693
2021-07-22,13891
2021-07-23,13661
2021-07-26,13724
2021-07-27,13590.5
2021-07-28,13775
2021-07-29,14105.5
2021-07-30,14000
2021-08-02,13896
2021-08-03,14030
2021-08-04,14060
2021-08-05,13940.5
2021-08-06,13674
2021-08-09,13558.5
2021-08-10,13500
2021-08-11,13400.5
2021-08-12,13432.5
2021-08-13,13492.5
2021-08-16,13380
2021-08-17,13561
2021-08-18,13448.5
2021-08-19,13577.5
2021-08-20,13476.5
2021-08-23,13728.5
2021-08-24,13710
2021-08-25,13565.5
2021-08-26,13463.5
2021-08-27,13529
2021-08-30,13458
2021-08-31,13259.5
2021-09-01,13258
2021-09-02,13311
2021-09-03,13583
2021-09-06,13518
2021-09-07,13330
2021-09-08,13283
2021-09-09,13295.5
2021-09-10,13162
2021-09-13,12988
2021-09-14,12905
2021-09-15,12630.5
2021-09-16,12425
2021-09-17,12545.5
2021-09-20,12880
2021-09-21,12760.5
2021-09-22,12735.5
2021-09-23,12582.5
2021-09-24,12340.5
2021-09-27,12080
2021-09-28,11882
2021-09-29,11694.5
2021-09-30,12048
2021-10-01,11820.5
2021-10-04,11932
2021-10-05,12124
2021-10-06,12159.5
2021-10-07,12360
2021-10-08,12381
2021-10-11,12219
2021-10-12,12711
2021-10-13,13244
2021-10-14,13688
2021-10-15,13363.5
