date,close
2018-05-28,4.0325
2018-05-29,4.002
2018-05-30,4.07
2018-05-31,4.08
2018-06-01,4.048
2018-06-04,4.1465
2018-06-05,4.222
2018-06-06,4.1885
2018-06-07,4.2
2018-06-08,4.0905
2018-06-09,4.091
2018-06-11,4.12
2018-06-13,4.1
2018-06-14,4.0295
2018-06-15,4.05
2018-06-18,4.1065
2018-06-19,4.0965
2018-06-20,4.092
2018-06-21,4.1155
2018-06-22,4.131
2018-06-25,4.088
2018-06-26,4.051
2018-06-27,4.07
2018-06-28,4.0665
2018-06-29,4.1
2018-07-02,4.0715
2018-07-03,4.049
2018-07-04,4.12
2018-07-05,4.134
2018-07-06,4.208
2018-07-09,4.299
2018-07-10,4.38
2018-07-11,4.3605
2018-07-12,4.244
2018-07-13,4.3145
2018-07-16,4.3375
2018-07-17,4.3625
2018-07-18,4.4065
2018-07-19,4.3825
2018-07-20,4.24
2018-07-23,4.2445
2018-07-24,4.23
2018-07-25,4.1805
2018-07-26,4.2
2018-07-27,4.1605
2018-07-30,4.098
2018-07-31,4.1425
2018-08-01,4.152
2018-08-02,4.0985
2018-08-03,4.062
2018-08-06,4.0235
2018-08-07,4.11
2018-08-08,4.0715
2018-08-09,4.057
2018-08-10,3.844
2018-08-13,3.95
2018-08-14,3.976
2018-08-15,4.035
2018-08-16,4.029
2018-08-17,3.983
2018-08-20,4.026
2018-08-21,4.0595
2018-08-22,4.057
2018-08-23,4
2018-08-24,3.9055
2018-08-27,4.04
2018-08-28,4.024
2018-08-29,4.01
2018-08-30,3.987
2018-08-31,4.04
2018-09-03,4.013
2018-09-04,3.975
2018-09-05,3.95
2018-09-06,3.869
2018-09-07,3.76
2018-09-10,3.719
2018-09-11,3.78
2018-09-12,3.89
2018-09-13,3.92
2018-09-14,3.95
2018-09-17,4.0775
2018-09-18,4.193
2018-09-19,4.12
2018-09-20,4.0865
2018-09-21,4.012
2018-09-24,4.0705
2018-09-25,4.1295
2018-09-26,4.13
2018-09-27,4.1785
2018-09-28,4.1065
2018-10-01,4.0375
2018-10-02,4.1095
2018-10-03,4.08
2018-10-04,4.09
2018-10-05,4.0205
2018-10-08,3.97
2018-10-09,3.9255
2018-10-10,3.992
2018-10-11,3.958
2018-10-12,3.884
2018-10-15,3.8555
2018-10-16,3.9795
2018-10-17,4.0735
2018-10-18,3.9975
2018-10-19,3.886
2018-10-22,3.87
2018-10-23,3.73
2018-10-24,3.73
2018-10-25,3.685
2018-10-26,3.72
2018-10-29,3.827
2018-10-30,3.9215
2018-10-31,3.982
2018-11-01,3.9985
2018-11-02,3.9445
2018-11-06,4
2018-11-07,4.0245
2018-11-08,3.99
2018-11-09,4.0295
2018-11-12,3.95
2018-11-13,4.03
2018-11-14,3.979
2018-11-15,3.981
2018-11-16,3.957
2018-11-19,3.8575
2018-11-20,3.806
2018-11-21,3.8825
2018-11-22,3.961
2018-11-23,3.976
2018-11-26,3.8995
2018-11-27,3.9555
2018-11-28,3.94
2018-11-29,3.9675
2018-11-30,4.095
2018-12-03,4.0905
2018-12-04,4.1235
2018-12-05,4.0495
2018-12-06,4.004
2018-12-07,3.942
2018-12-10,3.8895
2018-12-11,3.8815
2018-12-12,3.8835
2018-12-13,3.92
2018-12-14,3.884
2018-12-17,3.9035
2018-12-18,3.9025
2018-12-19,3.8865
2018-12-20,3.9
2018-12-21,3.8675
2018-12-24,3.8915
2018-12-25,3.824
2018-12-26,3.8455
2018-12-27,3.9165
2018-12-28,3.8845
2018-12-29,3.8795
2019-01-03,3.976
2019-01-04,3.97
2019-01-08,3.91
2019-01-09,3.9825
2019-01-10,3.9425
2019-01-11,3.96
2019-01-14,3.95
2019-01-15,3.9365
2019-01-16,3.956
2019-01-17,3.931
2019-01-18,3.86
2019-01-21,3.85
2019-01-22,3.81
2019-01-23,3.859
2019-01-24,3.8925
2019-01-25,3.87
2019-01-28,3.848
2019-01-29,3.8605
2019-01-30,3.85
